"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"City Game Studio","0","0","12","0","1.25","1.25","0.10","N/A","0.0","0.00","0.00","17","0.52","2019-10-24","726840"
"Transport Services","0","0","5","0","1.85","1.85","0.37","N/A","0.0","0.00","0.00","4","0.97","2019-10-23","993690"
"Deadly Days","0","0","10","0","0.78","0.78","0.08","N/A","0.0","0.00","0.00","26","0.35","2019-10-22","740080"
"Moons of Madness","0","0","6","0","0.75","0.75","0.12","0.17","-41.7","0.00","0.00","36","0.31","2019-10-22","1012840"
"NEKO-NIN exHeart 3","0","0","6","0","1.00","1.00","0.17","0.18","-5.9","1.34","5.56","45","0.44","2019-10-21","1129250"
"Tangle Tower","0","0","11","0","8.37","8.37","0.76","0.60","21.1","0.00","0.00","5","3.97","2019-10-20","359510"
"Onii-chan Asobo","0","0","5","0","3.12","3.12","0.62","0.59","4.8","0.00","24.98","12","1.62","2019-10-20","954610"
"Children of Morta","0","0","5","0","0.45","0.45","0.09","0.08","11.1","0.00","0.00","56","0.23","2019-10-18","330020"
"HARDCORE MECHA","0","0","15","0","1.49","1.49","0.10","0.15","-50.0","0.00","0.00","52","0.70","2019-10-18","746580"
"Car Trader Simulator","0","0","5","0","22.58","22.58","4.52","N/A","0.0","0.00","0.00","7","11.79","2019-10-18","689980"
"Felix the Reaper","0","0","5","0","1.13","1.13","0.23","N/A","0.0","0.00","0.00","9","0.60","2019-10-18","919410"
"Rebel Inc: Escalation","0","0","8","0","0.67","0.67","0.08","0.37","-362.5","0.00","0.36","61","0.28","2019-10-17","1088790"
"The Jackbox Party Pack 6","0","0","5","0","0.47","0.47","0.09","0.07","22.2","0.00","0.00","36","0.23","2019-10-17","1005300"
"Disco Elysium","0","0","14","0","1.47","1.47","0.11","0.09","18.2","0.21","2.46","50","0.67","2019-10-16","632470"
"Suicide Guy: Sleepin' Deeply","0","0","5","0","0.29","0.29","0.06","0.07","-16.7","0.69","0.07","87","0.16","2019-10-16","860860"
"Passcode Breaker: The Day Before","0","0","5","0","2.61","2.61","0.52","N/A","0.0","0.00","0.21","6","1.36","2019-10-14","334360"
"Trine 4: The Nightmare Prince","0","0","10","0","0.92","0.92","0.09","0.10","-11.1","0.11","0.13","51","0.39","2019-10-14","690640"
"Russian Life Simulator","0","0","15","0","1.52","1.52","0.10","0.06","40.0","0.90","4.38","29","0.70","2019-10-14","1070330"
"SecondSpeed","0","0","5","0","0.36","0.36","0.07","0.29","-314.3","0.21","0.24","191","0.18","2019-10-13","599990"
"VentureVerse: Legend of Ulora","0","0","7","0","1.15","1.15","0.16","0.15","6.3","0.00","0.10","13","0.56","2019-10-12","627570"
"Killer Queen Black","0","0","15","0","2.15","2.15","0.14","0.33","-135.7","0.00","0.00","31","0.97","2019-10-11","663670"
"Die Young","0","0","10","0","0.70","0.70","0.07","0.08","-14.3","0.08","0.10","42","0.30","2019-10-11","433170"
"Daymare: 1998","0","0","7","0","0.74","0.74","0.11","0.08","27.3","0.85","1.85","29","0.38","2019-10-11","842100"
"Mighty Gunvolt Burst","0","0","14","0","1.60","1.60","0.11","0.16","-45.5","0.81","0.39","14","0.67","2019-10-11","774651"
"Cat Quest II","0","0","6","0","0.70","0.70","0.12","0.19","-58.3","0.71","0.33","35","0.31","2019-10-11","914710"
"Starpoint Gemini 3","0","0","6","0","1.30","1.30","0.22","N/A","0.0","0.00","0.43","10","0.57","2019-10-10","977720"
"Stars End","0","0","5","0","0.71","0.71","0.14","8.54","-6,000.0","0.00","4.71","38","0.37","2019-10-10","623340"
"Pimp Tight","0","0","5","0","1.08","1.08","0.22","0.33","-50.0","1.95","0.20","14","0.57","2019-10-10","555100"
"Fission Superstar X","0","0","9","0","0.64","0.64","0.07","N/A","0.0","1.32","2.06","18","0.30","2019-10-10","793680"
"Save Koch","0","0","13","0","0.73","0.73","0.06","0.06","0.0","0.48","0.18","37","0.37","2019-10-09","1016720"
"Acting Lessons","0","0","10","0","1.45","1.45","0.15","0.28","-86.7","0.55","3.81","50","0.65","2019-10-09","1045520"
"Ancient Frontier: Steel Shadows","0","0","11","0","1.05","1.05","0.10","0.14","-40.0","0.43","0.43","22","0.52","2019-10-09","734730"
"Little Big Workshop","0","0","8","0","0.42","0.42","0.05","N/A","0.0","0.00","1.11","75","0.17","2019-10-09","574720"
"Yooka-Laylee and the Impossible Lair","0","0","6","0","0.81","0.81","0.14","0.14","0.0","1.62","1.66","25","0.37","2019-10-08","846870"
"Man of the House","0","0","10","0","2.18","2.18","0.22","0.30","-36.4","4.24","2.60","45","0.96","2019-10-08","1148150"
"Cerdocornio","0","0","5","0","0.40","0.40","0.08","0.11","-37.5","0.24","0.08","266","0.21","2019-10-08","528700"
"Skull Rush","0","0","5","0","0.26","0.26","0.05","0.04","20.0","0.18","0.03","1168","0.13","2019-10-08","587210"
"Spaceland","0","0","5","0","0.51","0.51","0.10","0.26","-160.0","0.60","0.88","25","0.26","2019-10-07","1021070"
"Hexologic","0","0","10","0","0.66","0.66","0.07","0.06","14.3","0.81","0.32","28","0.30","2019-10-07","785890"
"No Time to Relax","0","0","11","0","0.72","0.72","0.07","18.14","-25,814.3","2.69","1.10","38","0.37","2019-10-07","829660"
"The Myth Seekers 2: The Sunken City","0","0","5","0","2.04","2.04","0.41","N/A","0.0","0.21","0.89","14","1.07","2019-10-07","1055310"
"Gunvolt Chronicles: Luminous Avenger iX","0","0","13","0","1.55","1.55","0.12","0.17","-41.7","0.87","3.79","45","0.73","2019-10-07","1085180"
"Corpse Party: Blood Drive","0","0","10","0","0.91","0.91","0.09","0.37","-311.1","1.35","2.88","22","0.39","2019-10-03","824830"
"SUPER ROBOT WARS V","0","0","7","0","1.34","1.34","0.19","0.29","-52.6","1.05","33.65","74","0.66","2019-10-03","1031500"
"Encased","0","0","5","0","0.43","0.43","0.09","0.24","-166.7","0.19","2.81","54","0.23","2019-10-02","921800"
"Aokana - Four Rhythms Across the Blue","0","0","9","0","2.40","2.40","0.27","0.20","25.9","0.72","6.34","61","1.17","2019-10-02","1044620"
"Muv-Luv photonflowers*","0","0","5","0","1.03","1.03","0.21","0.25","-19.0","1.13","1.35","36","0.55","2019-10-02","889700"
"Naked Story","0","0","7","0","1.19","1.19","0.17","0.24","-41.2","2.58","16.21","23","0.59","2019-10-01","1092000"
"Dress-up Traveller","0","0","5","0","0.82","0.82","0.16","0.21","-31.2","0.54","0.45","41","0.42","2019-10-01","1129010"
"GRAY","0","0","6","0","0.96","0.96","0.16","0.18","-12.5","0.56","40.52","33","0.42","2019-09-30","1034700"
"bit Dungeon III","0","0","5","0","0.50","0.50","0.10","0.22","-120.0","2.29","0.15","81","0.26","2019-09-30","856210"
"Toilet Run","0","0","5","0","1.42","1.42","0.28","N/A","0.0","1.44","4.44","13","0.73","2019-09-28","629240"
"Nanairo Reincarnation","0","0","8","0","1.70","1.70","0.21","0.17","19.0","0.57","2.93","19","0.73","2019-09-28","751450"
"CODE VEIN","0","0","6","0","1.44","1.44","0.24","0.19","20.8","0.57","0.58","313","0.63","2019-09-27","678960"
"The Food Run","0","0","6","0","0.65","0.65","0.11","N/A","0.0","0.00","0.90","14","0.29","2019-09-27","505270"
"Hot Lava","0","0","7","0","0.36","0.36","0.05","0.06","-20.0","0.18","0.06","158","0.17","2019-09-27","382560"
"Your Island -KIMI NO SIMA-","0","0","8","0","1.51","1.51","0.19","N/A","0.0","1.06","0.58","26","0.66","2019-09-26","1087720"
"Stygian: Reign of the Old Ones","0","0","15","0","1.01","1.01","0.07","0.07","0.0","1.25","0.45","51","0.49","2019-09-26","779290"
"Little Misfortune","0","0","6","0","1.65","1.65","0.27","0.28","-3.7","4.57","1.84","54","0.70","2019-09-25","714120"
"The Surge 2","0","0","5","0","0.56","0.56","0.11","0.15","-36.4","1.35","0.45","82","0.29","2019-09-24","644830"
"Flowers -Le volume sur ete-","0","0","10","0","1.01","1.01","0.10","0.14","-40.0","1.30","1.20","56","0.43","2019-09-24","858940"
"Out of the Park Baseball 20","0","0","6","0","0.36","0.36","0.06","0.20","-233.3","0.14","0.84","50","0.16","2019-09-23","831980"
"Eternity: The Last Unicorn","0","0","8","0","0.99","0.99","0.12","0.18","-50.0","0.89","3.27","34","0.42","2019-09-20","714250"
"Ni no Kuni Wrath of the White Witch™ Remastered","0","0","6","0","0.89","0.89","0.15","0.17","-13.3","0.34","0.43","53","0.39","2019-09-20","798460"
"符文女孩/Rune Girl","0","0","10","0","0.83","0.83","0.08","0.11","-37.5","0.33","0.37","79","0.35","2019-09-20","1083210"
"2MD VR Football","0","0","8","0","1.42","1.42","0.18","N/A","0.0","0.10","0.10","11","0.63","2019-09-19","674850"
"AI: The Somnium Files","0","0","6","0","1.16","1.16","0.19","0.17","10.5","0.19","1.27","51","0.50","2019-09-18","948740"
"The Song of Saya","0","0","5","0","0.85","0.85","0.17","0.18","-5.9","0.45","1.48","82","0.44","2019-09-17","702050"
"Minoria","0","0","5","0","0.73","0.73","0.15","0.26","-73.3","0.46","0.46","38","0.39","2019-09-14","940910"
"Dicey Dungeons","0","0","6","0","0.42","0.42","0.07","0.06","14.3","1.77","1.39","114","0.18","2019-09-14","861540"
"Rebel Cops","0","0","5","0","0.47","0.47","0.09","0.14","-55.6","0.12","0.17","45","0.23","2019-09-14","970960"
"Last Day of Rome","0","0","5","0","0.47","0.47","0.09","0.12","-33.3","0.45","0.52","28","0.23","2019-09-14","1015090"
"I got a cat maid","0","0","5","0","0.82","0.82","0.16","0.18","-12.5","0.74","1.10","44","0.42","2019-09-14","1117630"
"Queen's Wish: The Conqueror","0","0","5","0","0.50","0.50","0.10","N/A","0.0","0.09","0.39","22","0.26","2019-09-14","1058130"
"Goodbye My King","0","0","10","0","0.31","0.31","0.03","0.02","33.3","0.03","0.06","346","0.13","2019-09-14","647410"
"Star Valor","0","0","6","0","0.42","0.42","0.07","0.22","-214.3","0.10","2.90","38","0.18","2019-09-13","833360"
"食用系少女 Food Girls","0","0","6","0","1.00","1.00","0.17","0.20","-17.6","1.40","2.06","37","0.44","2019-09-12","985080"
"Telefrag VR","0","0","5","0","3.89","3.89","0.78","N/A","0.0","4.26","13.01","7","2.03","2019-09-12","916100"
"I hate this game","0","0","7","0","0.72","0.72","0.10","0.05","50.0","0.16","0.47","26","0.35","2019-09-11","976010"
"Roomie Romance","0","0","8","0","0.75","0.75","0.09","0.14","-55.6","2.19","3.75","34","0.31","2019-09-11","467720"
"Sin Slayers","0","0","7","0","0.43","0.43","0.06","0.08","-33.3","0.84","6.48","34","0.21","2019-09-11","783190"
